,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights,year,month,partial_date,clean_date,weekofday
9557295,22734113,2019-08-25 00:00:00,t,499.0,$499.00,1.0,30.0,2019,8,08-25,2019-08-25,Sun
8481916,21206934,2019-12-06 00:00:00,f,89.0,$89.00,3.0,1125.0,2019,12,12-06,2019-12-06,Fri
5541721,15720784,2019-03-02 00:00:00,t,200.0,$200.00,1.0,1125.0,2019,3,03-02,2019-03-02,Sat
123595,239834,2019-04-19 00:00:00,t,95.0,$95.00,4.0,90.0,2019,4,04-19,2019-04-19,Fri
15725056,31835890,2019-09-14 00:00:00,t,18.0,$18.00,1.0,1125.0,2019,9,09-14,2019-09-14,Sat
8134827,20715634,2019-03-05 00:00:00,t,99.0,$99.00,1.0,1000.0,2019,3,03-05,2019-03-05,Tue
13796723,29579023,2019-07-17 00:00:00,t,36.0,$36.00,1.0,1124.0,2019,7,07-17,2019-07-17,Wed
2400381,6835580,2019-03-12 00:00:00,t,275.0,$275.00,2.0,90.0,2019,3,03-12,2019-03-12,Tue
8603391,21379496,2019-08-15 00:00:00,t,106.0,$106.00,2.0,1125.0,2019,8,08-15,2019-08-15,Thr
10090997,23579449,2019-02-09 00:00:00,t,33.0,$33.00,2.0,1125.0,2019,2,02-09,2019-02-09,Sat
6688388,18178468,2020-01-03 00:00:00,t,107.0,$107.00,1.0,1125.0,2020,1,01-03,2020-01-03,Fri
9152082,22131194,2019-06-20 00:00:00,t,189.0,$189.00,7.0,1125.0,2019,6,06-20,2019-06-20,Thr
14514303,30401865,2019-05-25 00:00:00,t,3200.0,"$3,200.00",3.0,1125.0,2019,5,05-25,2019-05-25,Sat
5869196,16377175,2019-02-25 00:00:00,f,70.0,$70.00,2.0,1125.0,2019,2,02-25,2019-02-25,Mon
13356016,28917101,2019-10-04 00:00:00,f,138.0,$138.00,2.0,60.0,2019,10,10-04,2019-10-04,Fri
815327,1864411,2019-05-22 00:00:00,t,75.0,$75.00,30.0,30.0,2019,5,05-22,2019-05-22,Wed
12223206,27255110,2019-05-29 00:00:00,f,160.0,$160.00,2.0,4.0,2019,5,05-29,2019-05-29,Wed
13458839,29014455,2019-02-18 00:00:00,t,300.0,$300.00,1.0,1125.0,2019,2,02-18,2019-02-18,Mon
15383178,31361491,2019-03-19 00:00:00,t,35.0,$35.00,1.0,3.0,2019,3,03-19,2019-03-19,Tue
3882791,11775298,2019-12-15 00:00:00,f,189.0,$189.00,1.0,1125.0,2019,12,12-15,2019-12-15,Sun
6931244,18688294,2020-01-15 00:00:00,f,173.0,$173.00,3.0,1125.0,2020,1,01-15,2020-01-15,Wed
5861824,16398378,2019-02-19 00:00:00,f,48.0,$48.00,2.0,1125.0,2019,2,02-19,2019-02-19,Tue
9557483,22734113,2019-12-27 00:00:00,f,180.0,$180.00,1.0,30.0,2019,12,12-27,2019-12-27,Fri
807524,1923186,2019-02-25 00:00:00,f,130.0,$130.00,1.0,5.0,2019,2,02-25,2019-02-25,Mon
12365594,27505699,2019-05-19 00:00:00,t,159.0,$159.00,2.0,90.0,2019,5,05-19,2019-05-19,Sun
