id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6201377,Private bedroom in LA City,32159384,Myong / Jane,,Arlington Heights,34.04434853152662,-118.32173161188362,Private room,55,2,13,2016-06-10,1.13,5,360
892469,Audrey Hepburn room-I'm Australian,4743375,Rebekah,,Arlington Heights,34.0394271676111,-118.3274870341894,Private room,68,1,146,2016-06-26,3.58,5,364
9127517,Monthly Dorms at Gramercy Place!,1497543,Kellie,,Arlington Heights,34.04706614830597,-118.31390111201274,Shared room,33,30,12,2016-04-16,1.54,16,365
6201593,Suite Pad In KoreaTown,32159384,Myong / Jane,,Arlington Heights,34.04433968018704,-118.32008121381992,Entire home/apt,115,2,2,2016-03-28,0.16,5,362
4235022,Huge&tidy room for rent/midcity LA,3541461,Elena,,Arlington Heights,34.04584859485242,-118.31779611058468,Private room,48,7,2,2015-02-14,0.10,3,22
1273424,"Entire 1BD ""Upper"" Apt. Mid-City/LA",6245770,Jesse,,Arlington Heights,34.042126220782066,-118.32375419400292,Entire home/apt,76,2,149,2016-06-28,4.17,3,217
5805878,Furnished room in a charming house,29764429,Dzitouo,,Arlington Heights,34.04305173144942,-118.31698407809779,Private room,130,1,0,,,1,365
12815173,LA Chosun House Women's Dormitory,68306402,Kim,,Arlington Heights,34.050093125483926,-118.31944157949785,Shared room,30,1,4,2016-07-01,2.45,9,362
6261398,Close to Everything! Sleeps 6. FAB!,25638454,Eli,,Arlington Heights,34.04104035859773,-118.31695071455374,Entire home/apt,99,1,29,2016-06-27,2.05,1,204
12814880,LA Chosun House Single Suite 1,68306402,Kim,,Arlington Heights,34.049598575246264,-118.31928535712173,Private room,60,1,0,,,9,347
12814678,LA Chosun House Couple Suite 2,68306402,Kim,,Arlington Heights,34.0495650566022,-118.32002796522133,Private room,80,1,0,,,9,365
